               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.022454,           0.0099762,                   0,             0.74259,             0.76543,             0.76871,             0.56846,            0.035625,            0.012366,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02364,            0.011545,                   0,              0.6892,             0.80247,             0.73574,              0.5617,            0.034298,            0.012046,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023023,            0.011206,                   0,             0.67839,             0.81481,             0.72759,             0.54119,            0.033785,            0.013116,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.021668,            0.011044,                   0,             0.67295,             0.76543,             0.70944,              0.5394,            0.034854,            0.012801,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021876,            0.010674,                   0,             0.66357,             0.77778,             0.72588,             0.53371,            0.035265,            0.013303,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022279,              0.0116,                   0,             0.64725,             0.82716,             0.73547,             0.56304,            0.035721,            0.012334,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022429,            0.010808,                   0,              0.6589,             0.79012,             0.73961,             0.56426,            0.036042,            0.012297,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021362,            0.010776,                   0,             0.68922,             0.79012,             0.73931,             0.54225,            0.033355,             0.01224,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022467,            0.010435,                   0,             0.65483,             0.75309,             0.73555,              0.5462,            0.034326,            0.012805,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022125,            0.010421,                   0,             0.67178,             0.80862,             0.74453,             0.54819,            0.033519,            0.013021,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021146,            0.010007,                   0,             0.73023,             0.71605,             0.73364,              0.5589,            0.033087,            0.013381,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020814,            0.010894,                   0,             0.69205,             0.77685,             0.72759,             0.55007,            0.034025,            0.013366,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.020341,           0.0098973,                   0,             0.76523,             0.68412,             0.76082,             0.57206,            0.034162,            0.012368,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021087,            0.010308,                   0,             0.66209,             0.74992,             0.73118,             0.54895,            0.034359,            0.013834,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020177,            0.010926,                   0,             0.72088,             0.70151,             0.73315,             0.54531,             0.03409,            0.013499,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020634,           0.0096516,                   0,             0.71128,             0.66913,             0.73863,             0.57251,            0.033778,            0.013012,                   0,            0.002971,            0.002971,            0.002971
